Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,Pkg0603,141.980612,-107.361451,0.0,top
C2,22u,Pkg0603_1,143.482328,-109.954105,180.0,top
C3,22u,Pkg0603_2,139.946741,-116.728243,-90.0,top
C4,47u,Pkg0805_1,145.607477,-109.902067,-90.0,top
C5,100n,Pkg0201,143.464823,-113.134169,-90.0,top
C6,47u,Pkg0805,145.625645,-112.305619,-90.0,top
C7,10u,Pkg0402_2,139.268449,-107.81468,0.0,top
C8,10u,Pkg0402_4,140.076947,-107.803699,0.0,top
C9,10u,Pkg0402_9,140.083185,-106.166336,0.0,top
C10,2.2u,Pkg0201_11,141.387537,-104.921606,180.0,top
C11,10u,Pkg0402_1,139.267526,-106.172923,0.0,top
C12,10u,Pkg0402,145.676194,-108.605838,-90.0,top
C13,1u,Pkg0201_27,149.53724,-103.616252,-90.0,top
C14,2.2u,Pkg0201_41,144.212235,-104.77586,180.0,top
C15,470n,Pkg0402_5,142.707818,-101.067375,0.0,top
C16,470n,Pkg0402_10,143.28223,-101.075335,0.0,top
C17,22n,Pkg0201_14,143.632345,-104.771402,180.0,top
C18,22n,Pkg0201_26,143.84802,-101.079467,0.0,top
C19,10n,Pkg0201_36,145.021301,-104.569343,-90.0,top
C20,10n,Pkg0201_45,146.645768,-102.632819,-90.0,top
C21,270p,Pkg0201_12,145.865063,-104.765209,180.0,top
C22,10n,Pkg0201_23,146.425196,-103.448811,180.0,top
C23,10u,Pkg0402_3,145.444713,-100.830838,0.0,top
C24,4.7u,Pkg0402_8,144.596628,-100.808761,0.0,top
C25,4.7u,Pkg0402_6,137.832718,-99.694231,-90.0,top
C26,1u,Pkg0201_37,152.558293,-105.073923,-90.0,top
C27,100n,Pkg0201_44,149.523252,-102.906783,90.0,top
C28,1u,Pkg0201_10,148.31747,-107.191206,0.0,top
C29,1u,Pkg0201_22,145.39686,-106.897648,0.0,top
C30,1u,Pkg0201_8,152.562502,-106.288258,-90.0,top
C31,1u,Pkg0201_21,152.557231,-105.636181,-90.0,top
C32,1u,Pkg0201_33,152.587212,-107.601414,-90.0,top
C33,1u,Pkg0201_42,151.820672,-103.212851,0.0,top
C34,1u,Pkg0201_7,150.673681,-103.233189,0.0,top
C35,1u,Pkg0201_31,151.259428,-103.219791,0.0,top
C36,100n,Pkg0201_24,135.733934,-99.777476,180.0,top
C37,1u,Pkg0201_35,150.362926,-108.800507,-90.0,top
C38,1u,Pkg0201_43,152.562779,-108.258371,-90.0,top
C39,1u,Pkg0201_19,152.540867,-104.485806,-90.0,top
C42,100n,Pkg0201_38,130.879624,-111.374266,180.0,top
C43,100n,Pkg0201_1,129.272205,-108.558222,90.0,top
C47,1u,Pkg0201_3,133.173593,-107.325149,180.0,top
C48,1u,Pkg0201_15,133.471905,-104.627481,-90.0,top
C49,1p,Pkg0201_32,134.611295,-116.10239,0.0,top
C50,1p,Pkg0201_2,132.480158,-116.101204,0.0,top
J1,TC2030-IDC-NL,TC2030_IDC_NL_FOOTPRINT,129.259807,-100.247428,180.0,bottom
J6,10103594-0001LF,AMPHENOL_10103594_0001LF,137.144176,-101.798664,0.0,bottom
L1,470n,Pkg0603_3,143.707042,-108.09666,90.0,top
L2,1u,Pkg0402_7,145.039195,-111.115818,90.0,top
L3,1n,Pkg0201_40,133.586425,-115.779501,-90.0,top
L4,1n,Pkg0201_9,131.238224,-115.98694,90.0,top
R1,0R,Pkg0201_18,149.537024,-104.185183,-90.0,top
R2,845R,Pkg0201_6,141.792098,-102.310479,-90.0,top
R3,196R,Pkg0201_17,140.822064,-102.312925,-90.0,top
R4,20K,Pkg0201_29,140.817568,-101.729855,-90.0,top
R5,10K,Pkg0201_39,141.702538,-103.393157,-90.0,top
R6,10K,Pkg0201_4,141.79804,-102.855393,-90.0,top
R7,10K,Pkg0201_16,141.775155,-101.741826,-90.0,top
R8,1K,Pkg0201_28,142.994403,-104.772808,0.0,top
R9,0R,Pkg0201_25,136.082463,-107.990123,0.0,top
R10,0R,Pkg0201_34,133.155481,-109.757773,90.0,top
R12,8K2,Pkg0201_20,149.508078,-105.34044,-90.0,top
R13,8K2,Pkg0201_20,149.537744,-104.758607,-90.0,top
R14,8K2,Pkg0201_5,133.121752,-108.564533,90.0,top
R15,8K2,Pkg0201_5,133.131581,-109.124322,90.0,top
R16,8K2,Pkg0201_30,134.619836,-106.366536,90.0,top
R17,8K2,Pkg0201_30,134.618615,-105.290821,90.0,top
R18,100K,Pkg0201_13,136.458667,-99.764658,180.0,top
U1,DA14705-00000HZ2,LP,139.180165,-112.285086,180.0,top
U2,AT25FF321A-UUN-T,WLCSP_12,144.075068,-115.406336,0.0,top
U3,BQ51003YFPR,LP_7,144.213236,-102.962187,-90.0,top
U4,DA7212-01UM2,LP_3,151.306976,-106.165097,-90.0,top
U5,FH19C-6S-0.5SH(10),LP_5,148.75,-115.095,0.0,top
U6,23-23B/R6GHBHW-C30/2A,LP_4,150.471949,-99.968314,180.0,top
U7,TPD4S012DRYR,SON_6_L1_5_W1_0_P0_50_BL,136.231335,-101.979704,0.0,top
U9,LSM6DSOXTR,LP_1,131.204964,-108.983651,-90.0,top
U12,DRV2605YZFR,LP_8,133.308637,-105.839878,90.0,top
U13,CSD75207W15,LP_6,137.875928,-101.400299,0.0,top
U14,EVPBB4A9B000,LP_2,127.83,-106.78,90.0,top
U15,EVPBB4A9B000,LP_2,137.83,-106.78,90.0,top
U16,EVPBB4A9B000,LP_2,147.83,-106.78,90.0,top
U17,~,Pkg_2450AT18D0100_STD_R_1,128.331496,-116.185195,180.0,top
XTAL1,XRCGB32M000F1H00R0,CRYSTAL_SMD_4P_L2_0_W1_6_BL_1,134.256026,-112.534541,-90.0,top
